0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
39,6,77516,11,13,4,0,1,4,1,2174,0,40,38,0
50,5,83311,11,13,2,3,0,4,1,0,0,13,38,0
38,3,215646,8,9,0,5,1,4,1,0,0,40,38,0
53,3,234721,6,7,2,5,0,2,1,0,0,40,38,0
28,3,338409,11,13,2,9,5,2,0,0,0,40,4,0
37,3,284582,12,14,2,3,5,4,0,0,0,40,38,0
49,3,160187,4,5,3,7,1,2,0,0,0,16,22,0
52,5,209642,8,9,2,3,0,4,1,0,0,45,38,1
31,3,45781,12,14,4,9,1,4,0,14084,0,50,38,1
42,3,159449,11,13,2,3,0,4,1,5178,0,40,38,1
37,3,280464,10,10,2,3,0,2,1,0,0,80,38,1
30,6,141297,11,13,2,9,0,1,1,0,0,40,18,1
23,3,122272,11,13,4,0,3,4,0,0,0,30,38,0
32,3,205019,14,12,4,11,1,2,1,0,0,50,38,0
40,3,121772,13,11,2,2,0,1,1,0,0,40,38,1
34,3,245487,3,4,2,13,0,0,1,0,0,45,25,0
25,5,176756,8,9,4,4,3,4,1,0,0,35,38,0
32,3,186824,8,9,4,6,4,4,1,0,0,40,38,0
38,3,28887,6,7,2,11,0,4,1,0,0,50,38,0
43,5,292175,12,14,0,3,4,4,0,0,0,45,38,1
40,3,193524,15,16,2,9,0,4,1,0,0,60,38,1
54,3,302146,8,9,5,7,4,2,0,0,0,20,38,0
35,0,76845,4,5,2,4,0,2,1,0,0,40,38,0
43,3,117037,6,7,2,13,0,4,1,0,2042,40,38,0
59,3,109015,8,9,0,12,4,4,0,0,0,40,38,0
56,1,216851,11,13,2,12,0,4,1,0,0,40,38,1
19,3,168294,8,9,4,2,3,4,1,0,0,40,38,0
54,3,180211,10,10,2,9,0,1,1,0,0,60,34,1
39,3,367260,8,9,0,3,1,4,1,0,0,80,38,0
49,3,193366,8,9,2,2,0,4,1,0,0,40,38,0
23,1,190709,14,12,4,10,1,4,1,0,0,52,38,0
20,3,266015,10,10,4,11,3,2,1,0,0,44,38,0
45,3,386940,11,13,0,3,3,4,1,0,1408,40,38,0
30,0,59951,10,10,2,0,3,4,1,0,0,40,38,0
22,6,311512,10,10,2,7,0,2,1,0,0,15,38,0
48,3,242406,6,7,4,6,4,4,1,0,0,40,32,0
21,3,197200,10,10,4,6,3,4,1,0,0,40,38,0
19,3,544091,8,9,1,0,5,4,0,0,0,25,38,0
31,3,84154,10,10,2,11,0,4,1,0,0,38,38,1
48,5,265477,14,12,2,9,0,4,1,0,0,40,38,0
31,3,507875,4,5,2,6,0,4,1,0,0,43,38,0
53,5,88506,11,13,2,9,0,4,1,0,0,40,38,0
24,3,172987,11,13,2,12,0,4,1,0,0,50,38,0
49,3,94638,8,9,5,0,4,4,0,0,0,40,38,0
25,3,289980,8,9,4,5,1,4,1,0,0,35,38,0
57,0,337895,11,13,2,9,0,2,1,0,0,40,38,1
53,3,144361,8,9,2,6,0,4,1,0,0,38,38,0
44,3,128354,12,14,0,3,4,4,0,0,0,40,38,0
41,6,101603,13,11,2,2,0,4,1,0,0,40,38,0
29,3,271466,13,11,4,9,1,4,1,0,0,43,38,0
25,3,32275,10,10,2,3,5,3,0,0,0,40,38,0
18,3,226956,8,9,4,7,3,4,0,0,0,30,38,0
47,3,51835,9,15,2,9,5,4,0,0,1902,60,15,1
50,0,251585,11,13,0,3,1,4,1,0,0,55,38,1
47,4,109832,8,9,0,3,1,4,1,0,0,60,38,0
43,3,237993,10,10,2,12,0,4,1,0,0,40,38,1
46,3,216666,2,3,2,6,0,4,1,0,0,40,25,0
35,3,56352,13,11,2,7,0,4,1,0,0,40,32,0
41,3,147372,8,9,2,0,0,4,1,0,0,48,38,0
30,3,188146,8,9,2,6,0,4,1,5013,0,40,38,0
30,3,59496,11,13,2,11,0,4,1,2407,0,40,38,0
32,3,293936,3,4,3,9,1,4,1,0,0,40,38,0
48,3,149640,8,9,2,13,0,4,1,0,0,40,38,0
42,3,116632,15,16,2,9,0,4,1,0,0,45,38,1
29,3,105598,10,10,0,12,1,4,1,0,0,58,38,0
36,3,155537,8,9,2,2,0,4,1,0,0,40,38,0
28,3,183175,10,10,0,0,1,4,0,0,0,40,38,0
53,3,169846,8,9,2,0,5,4,0,0,0,40,38,1
49,4,191681,10,10,2,3,0,4,1,0,0,50,38,1
25,3,200681,10,10,4,9,3,4,1,0,0,40,38,0
19,3,101509,10,10,4,9,3,4,1,0,0,32,38,0
31,3,309974,11,13,5,11,3,2,0,0,0,40,38,0
29,5,162298,11,13,2,11,0,4,1,0,0,70,38,1
23,3,211678,10,10,4,6,1,4,1,0,0,40,38,0
79,3,124744,10,10,2,9,2,4,1,0,0,20,38,0
27,3,213921,8,9,4,7,3,4,1,0,0,40,25,0
40,3,32214,14,12,2,0,0,4,1,0,0,40,38,0
67,3,212759,5,6,2,9,0,4,1,0,0,2,38,0
18,3,309634,6,7,4,7,3,4,0,0,0,22,38,0
31,1,125927,3,4,2,4,0,4,1,0,0,40,38,0
